Zone,Species,Time,ImageDate,SetVisitDate
10,Coyote,0.217,8/12/2019 5:12,8/7/2019
10,Coyote,0.232,7/10/2018 5:34,6/27/2018
12,Coyote,0.194,5/20/2018 4:39,5/15/2018
12,Coyote,0.208,5/23/2018 4:59,5/15/2018
12,Coyote,0.327,5/22/2018 7:51,5/15/2018
12,Coyote,0.508,5/27/2018 12:12,5/15/2018
12,Coyote,0.914,6/1/2018 21:56,5/15/2018
13,Coyote,0.081,8/17/2018 1:56,8/16/2018
13,Coyote,0.101,8/30/2018 2:26,8/16/2018
13,Coyote,0.231,8/23/2018 5:33,8/16/2018
13,Coyote,0.253,8/26/2018 6:05,8/16/2018
13,Coyote,0.751,6/12/2019 18:01,6/11/2019
13,Coyote,0.967,8/20/2018 23:13,8/16/2018
14,Coyote,0.113,6/23/2019 2:43,6/21/2019
14,Coyote,0.168,6/26/2019 4:02,6/21/2019
14,Coyote,0.207,7/4/2020 4:58,7/2/2020
14,Coyote,0.958,7/3/2020 23:00,7/2/2020
15,Coyote,0.256,9/23/2020 6:08,9/14/2020
15,Coyote,0.874,5/18/2018 20:58,5/14/2018
15,Coyote,0.958,9/27/2020 22:59,9/14/2020
15,Coyote,0.958,9/27/2020 23:00,9/14/2020
16,Coyote,0.028,6/16/2020 0:41,6/3/2020
16,Coyote,0.082,6/12/2020 1:58,6/3/2020
16,Coyote,0.101,6/11/2020 2:26,6/3/2020
16,Coyote,0.108,6/8/2020 2:36,6/3/2020
16,Coyote,0.114,6/9/2020 2:44,6/3/2020
16,Coyote,0.158,6/15/2020 3:48,6/3/2020
16,Coyote,0.16,6/17/2020 3:51,6/3/2020
16,Coyote,0.182,6/17/2020 4:22,6/3/2020
16,Coyote,0.185,8/5/2018 4:26,7/9/2018
16,Coyote,0.188,6/9/2019 4:31,5/28/2019
16,Coyote,0.288,7/28/2018 6:55,7/9/2018
16,Coyote,0.299,7/26/2018 7:11,7/9/2018
16,Coyote,0.313,7/17/2018 7:31,7/9/2018
16,Coyote,0.406,6/12/2020 9:44,6/3/2020
16,Coyote,0.418,6/10/2020 10:02,6/3/2020
16,Coyote,0.419,6/10/2020 10:03,6/3/2020
17,Coyote,0,8/10/2019,8/1/2019
17,Coyote,0.965,6/30/2018 23:09,6/12/2018
18,Coyote,0.91,9/1/2018 21:50,8/16/2018
19,Coyote,0.09,6/2/2018 2:09,5/23/2018
19,Coyote,0.122,6/1/2018 2:56,5/23/2018
19,Coyote,0.138,9/18/2019 3:18,8/26/2019
19,Coyote,0.281,6/1/2018 6:45,5/23/2018
19,Coyote,0.822,6/4/2018 19:44,5/23/2018
19,Coyote,0.988,5/25/2018 23:42,5/23/2018
19,Coyote,0.988,5/25/2018 23:42,5/23/2018
20,Coyote,0.047,7/22/2018 1:08,7/12/2018
20,Coyote,0.078,8/3/2018 1:52,7/12/2018
20,Coyote,0.113,5/31/2020 2:43,5/20/2020
20,Coyote,0.124,5/27/2020 2:59,5/20/2020
20,Coyote,0.133,5/31/2019 3:12,5/27/2019
20,Coyote,0.191,7/26/2018 4:35,7/12/2018
20,Coyote,0.192,7/26/2018 4:37,7/12/2018
20,Coyote,0.198,5/24/2020 4:45,5/20/2020
20,Coyote,0.342,5/23/2020 8:12,5/20/2020
20,Coyote,0.378,7/13/2018 9:05,7/12/2018
20,Coyote,0.379,7/13/2018 9:06,7/12/2018
20,Coyote,0.776,7/15/2018 18:38,7/12/2018
20,Coyote,0.874,8/4/2018 20:59,7/12/2018
20,Coyote,0.942,7/19/2018 22:36,7/12/2018
20,Coyote,0.983,5/30/2019 23:36,5/27/2019
20,Coyote,0.985,5/30/2019 23:38,5/27/2019
20,Coyote,0.985,5/30/2019 23:38,5/27/2019
20,Coyote,0.985,5/30/2019 23:39,5/27/2019
20,Coyote,0.986,5/30/2019 23:40,5/27/2019
20,Coyote,0.996,5/21/2020 23:54,5/20/2020
21,Coyote,0.195,6/15/2020 4:41,5/29/2020
21,Coyote,0.736,7/4/2018 17:40,6/12/2018
21,Coyote,0.943,6/20/2018 22:38,6/12/2018
22,Coyote,0.004,7/25/2020 0:06,7/11/2020
22,Coyote,0.027,7/14/2020 0:39,7/11/2020
22,Coyote,0.044,7/5/2019 1:04,6/26/2019
22,Coyote,0.069,7/14/2020 1:40,7/11/2020
22,Coyote,0.145,7/30/2020 3:29,7/11/2020
22,Coyote,0.189,8/1/2020 4:32,7/11/2020
22,Coyote,0.19,7/22/2018 4:33,7/19/2018
22,Coyote,0.22,7/1/2019 5:17,6/26/2019
22,Coyote,0.225,7/29/2020 5:24,7/11/2020
22,Coyote,0.226,7/29/2020 5:25,7/11/2020
22,Coyote,0.246,8/5/2020 5:54,7/11/2020
22,Coyote,0.3,7/18/2020 7:12,7/11/2020
22,Coyote,0.611,7/14/2020 14:40,7/11/2020
22,Coyote,0.977,7/13/2020 23:27,7/11/2020
22,Coyote,0.999,7/21/2019 23:58,6/26/2019
23,Coyote,0.036,6/1/2020 0:52,5/23/2020
23,Coyote,0.072,6/19/2020 1:43,5/23/2020
23,Coyote,0.133,6/14/2020 3:12,5/23/2020
23,Coyote,0.942,6/8/2020 22:36,5/23/2020
24,Coyote,0.025,7/12/2020 0:36,7/8/2020
24,Coyote,0.044,7/16/2020 1:04,7/8/2020
24,Coyote,0.061,7/25/2018 1:28,7/18/2018
24,Coyote,0.124,7/19/2018 2:58,7/18/2018
24,Coyote,0.158,7/24/2020 3:47,7/8/2020
24,Coyote,0.226,8/6/2018 5:25,7/18/2018
24,Coyote,0.243,8/1/2018 5:50,7/18/2018
24,Coyote,0.937,8/1/2018 22:29,7/18/2018
25,Coyote,0.033,5/25/2020 0:48,5/19/2020
25,Coyote,0.034,5/25/2020 0:49,5/19/2020
25,Coyote,0.034,5/25/2020 0:49,5/19/2020
25,Coyote,0.069,5/31/2020 1:39,5/19/2020
25,Coyote,0.069,5/31/2020 1:39,5/19/2020
25,Coyote,0.113,5/31/2020 2:43,5/19/2020
25,Coyote,0.217,5/25/2020 5:13,5/19/2020
25,Coyote,0.911,8/14/2018 21:52,8/9/2018
25,Coyote,0.935,8/28/2018 22:26,8/9/2018
26,Coyote,0.028,7/23/2019 0:41,6/29/2019
26,Coyote,0.056,7/8/2019 1:21,6/29/2019
26,Coyote,0.074,7/15/2019 1:47,6/29/2019
26,Coyote,0.089,8/30/2018 2:08,8/14/2018
26,Coyote,0.115,7/8/2019 2:46,6/29/2019
26,Coyote,0.122,8/23/2018 2:56,8/14/2018
26,Coyote,0.147,8/29/2018 3:32,8/14/2018
26,Coyote,0.147,8/29/2018 3:32,8/14/2018
26,Coyote,0.164,7/12/2019 3:56,6/29/2019
26,Coyote,0.165,7/25/2019 3:57,6/29/2019
26,Coyote,0.191,7/19/2019 4:35,6/29/2019
26,Coyote,0.199,9/9/2018 4:47,8/14/2018
26,Coyote,0.199,9/9/2018 4:47,8/14/2018
26,Coyote,0.2,9/9/2018 4:48,8/14/2018
26,Coyote,0.2,9/9/2018 4:48,8/14/2018
26,Coyote,0.208,7/20/2019 5:00,6/29/2019
26,Coyote,0.209,7/1/2019 5:01,6/29/2019
26,Coyote,0.209,7/1/2019 5:01,6/29/2019
26,Coyote,0.211,7/14/2019 5:04,6/29/2019
26,Coyote,0.221,8/20/2018 5:18,8/14/2018
26,Coyote,0.235,7/9/2019 5:38,6/29/2019
26,Coyote,0.253,7/7/2019 6:04,6/29/2019
26,Coyote,0.256,9/11/2018 6:09,8/14/2018
26,Coyote,0.291,9/6/2018 6:59,8/14/2018
26,Coyote,0.885,8/26/2018 21:14,8/14/2018
26,Coyote,0.885,8/26/2018 21:14,8/14/2018
26,Coyote,0.897,8/27/2018 21:31,8/14/2018
26,Coyote,0.899,8/26/2018 21:35,8/14/2018
26,Coyote,0.901,9/9/2018 21:37,8/14/2018
26,Coyote,0.919,7/3/2019 22:03,6/29/2019
26,Coyote,0.921,9/5/2018 22:06,8/14/2018
26,Coyote,0.921,9/5/2018 22:06,8/14/2018
26,Coyote,0.922,9/5/2018 22:07,8/14/2018
26,Coyote,0.922,8/21/2018 22:08,8/14/2018
26,Coyote,0.978,8/27/2018 23:28,8/14/2018
26,Coyote,0.978,8/27/2018 23:28,8/14/2018
27,Coyote,0.081,8/1/2020 1:56,7/16/2020
27,Coyote,0.211,7/24/2020 5:04,7/16/2020
27,Coyote,0.235,8/6/2020 5:38,7/16/2020
27,Coyote,0.865,7/27/2020 20:45,7/16/2020
27,Coyote,0.954,7/26/2020 22:54,7/16/2020
27,Coyote,0.96,7/22/2020 23:03,7/16/2020
28,Coyote,0.33,9/2/2020 7:55,8/20/2020
28,Coyote,0.33,9/2/2020 7:55,8/20/2020
28,Coyote,0.331,9/2/2020 7:56,8/20/2020
28,Coyote,0.331,9/2/2020 7:57,8/20/2020
28,Coyote,0.34,9/2/2020 8:10,8/20/2020
28,Coyote,0.354,9/24/2020 8:30,8/20/2020
28,Coyote,0.355,9/24/2020 8:31,8/20/2020
28,Coyote,0.367,9/2/2020 8:49,8/20/2020
28,Coyote,0.367,9/2/2020 8:49,8/20/2020
28,Coyote,0.394,8/28/2020 9:28,8/20/2020
28,Coyote,0.46,8/29/2020 11:02,8/20/2020
28,Coyote,0.715,9/4/2020 17:09,8/20/2020
28,Coyote,0.874,8/29/2020 20:59,8/20/2020
28,Coyote,0.879,5/16/2018 21:06,5/14/2018
28,Coyote,0.907,9/1/2020 21:46,8/20/2020
29,Coyote,0.981,5/26/2018 23:32,5/14/2018
30,Coyote,0.056,8/8/2020 1:21,8/4/2020
30,Coyote,0.108,8/17/2020 2:35,8/4/2020
30,Coyote,0.745,5/15/2018 17:53,5/15/2018
30,Coyote,0.831,5/31/2018 19:56,5/15/2018
31,Coyote,0.035,6/24/2019 0:51,6/21/2019
31,Coyote,0.035,6/24/2019 0:51,6/21/2019
31,Coyote,0.036,6/24/2019 0:52,6/21/2019
31,Coyote,0.036,6/24/2019 0:52,6/21/2019
31,Coyote,0.042,8/19/2018 1:01,8/14/2018
31,Coyote,0.044,7/20/2019 1:03,6/21/2019
31,Coyote,0.053,7/20/2019 1:16,6/21/2019
31,Coyote,0.053,7/20/2019 1:16,6/21/2019
31,Coyote,0.053,7/20/2019 1:17,6/21/2019
31,Coyote,0.053,7/20/2019 1:17,6/21/2019
31,Coyote,0.054,7/20/2019 1:18,6/21/2019
31,Coyote,0.054,7/20/2019 1:18,6/21/2019
31,Coyote,0.055,7/20/2019 1:19,6/21/2019
31,Coyote,0.055,7/20/2019 1:19,6/21/2019
31,Coyote,0.058,7/20/2020 1:23,7/2/2020
