Column1,sites,CRPPrp,SGPPrp,RowcropPrp,TotalEdge
1,0,0,0.595640952,0.000215085,469140
2,1,0.04,0.126048613,0.534093353,357420
3,2,0,0.054545455,0.584395132,239640
4,3,0.24,7.17E-05,0.529344321,142980
5,4,0.13,0,0.38472023,181380
6,5,0.21,0.034944504,0.287504475,368100
7,6,0,0.177444795,0.239317465,415560
8,7,0.05,0.144197708,0.26991404,415350
9,8,0,0.475548544,0.162627277,580890
10,9,0.27,0.270401949,0.135057677,183210
11,10,0.01,0.093210009,0.634975263,249750
12,11,0.08,0.119750609,0.586211839,190470
13,12,0,0.024731183,0.783512545,147030
14,13,0,0.611592749,0.1259583,337590
15,14,0.01,0.241527549,0.03095221,678810
16,15,0,0.206288948,0.54938758,281070
17,16,0,0.021558516,0.768944277,153450
18,17,0.15,0.074517679,0.104353439,477810
19,18,0.02,0.299368995,0.105908504,510090
20,19,0.14,0.033926266,0.314015206,276240
21,20,0.08,0.004660166,0.483008317,251070
22,21,0.08,0.221433692,0.361362007,436560
23,22,0.03,0.027036718,0.656339644,196620
24,23,0,0.179137671,0.476576512,300120
25,24,0,0.656122229,0.000286923,401430
26,25,0,0.191326165,0.550967742,354420
27,26,0.08,0.169186671,0.427731996,297900
28,27,0.43,0.042359518,0.291499427,312390
29,28,0.07,0.224244161,0.451282419,336780
30,29,0.15,0.033837551,0.406409062,389640
31,30,0.33,0.098445225,0.25198825,223290
32,31,0,0.187370081,0.549136263,363330
33,32,0.33,0.110728629,0.356640849,283560
34,33,0,0.412055619,0.233443234,454530
35,34,0.32,0.141669652,0.397706915,166170
36,35,0.03,0.222724014,0.397706093,260730
37,36,0,0.364711787,0.301620304,497640
38,37,0,0.062665616,0.66468524,180510
39,38,0.02,0.458183905,0.074738201,386760
40,39,0.05,0.422525108,0.126327116,435480
41,40,0,0.005519713,0.638207885,192420
42,41,0.35,0.05666595,0.276452468,286800
43,42,0,0.352102586,0.271366144,518790
44,43,0.22,0.106364679,0.327193234,310980
45,44,0.08,0.231585742,0.373664204,334290
46,45,0.17,0.209265634,0.258032129,465000
47,46,0,0.357045634,0.164410058,493950
48,47,0.03,0.144219736,0.003729203,366480
49,48,0,0.042598967,0.499282846,238110
50,49,0,0.017059709,0.73564619,168030
51,50,0,0.319859528,0.376836523,374880
52,51,0.11,0.254084265,0.362066495,358080
53,52,0,0,0.63650043,172410
54,53,0.02,0.047342788,0.810127489,135270
55,54,0.14,0.098236053,0.125125484,332010
56,55,0,0.327405708,7.17E-05,544530
57,56,0.09,0.291651738,0.317878896,358530
58,57,0.11,0.169570517,0.087115509,411000
59,58,0.04,0.040263648,0.120002866,323130
60,59,0.02,0.444412587,0.08200129,514110
61,60,0.02,0.111851533,0.509243336,244710
62,61,0.3,0.157951289,0.295272206,278010
63,62,0.04,0.120266781,0.452380952,456630
64,63,0,0.554098596,0.00379765,388830
65,64,0.2,0,0.219115222,173970
66,65,0.29,0.241922774,0.382548893,143010
67,66,0,0.345134012,0.363981654,400680
68,67,0.03,0,0.073872194,214350
69,68,0.25,0.02156006,0.388224339,176430
70,69,0.12,0.013620072,0.556989247,201840
71,70,0.11,0.279214731,0.342982016,362490
72,71,0,0.083028608,0.750268875,198090
73,72,0,0.376485751,0.246026063,421680
74,73,0.08,0.096829723,0.17163965,385800
75,74,0.02,0.00078774,0.139573188,284370
76,75,0,0.16804072,0.589648003,350490
77,76,0.05,0.188364262,0.419717704,155550
78,77,0.01,0.233307036,0.385067776,476580
79,78,0.28,0.28346118,0.194422539,351870
80,79,0.01,0.000215115,0.883335724,149580
81,80,0.08,0.041269614,0.369277065,213570
82,81,0.15,0.206101404,0.369736465,270540
83,82,0.01,0.097253102,0.014559277,466080
84,83,0.3,0.233469446,0.198295007,295050
85,84,0.05,0.004299534,0.650447868,186690
86,85,0.04,0.534892061,0.003155705,431970
87,87,0.17,0.059565623,0.439968461,320040
88,88,0.13,0.146848138,0.151647564,554430
89,89,0.15,0.316449348,0.128026938,442290
90,90,0.32,0.274395927,0.092062809,365790
91,91,0.12,0.259766325,0.113755286,536970
92,92,0.49,0.062325181,0.106146453,232200
93,93,0.01,0.737825838,0.134417072,264960
94,94,0,0.291851958,0.113111462,509490
95,95,0.01,0.509670487,0.074426934,494310
96,96,0.31,0.100708611,0.175935867,286920
97,97,0.02,0.36103357,0.207715983,472320
98,98,0,0.661963761,0.086585977,515190
99,99,0.37,0.163499462,0.18766583,272520
100,100,0,0.141320714,0.514949451,290730
101,101,0.2,0.000931633,0.576752186,126150
102,102,0.02,0.000430046,0.858514908,124020
103,103,0.12,0.367311828,0.185448029,388590
104,104,0.27,0.001936594,0.440180749,122460
105,105,0,0.099003513,0.543121371,268020
106,106,0.05,0.042234332,0.507744156,239310
107,107,0.08,0.092636409,0.480461748,226800
108,108,0.19,0.049580855,0.234505983,307320
109,109,0.19,0.355864242,0.216812258,332010
110,110,0.27,0.062804703,0.315242329,316770
111,111,0.02,0.085179609,0.39779164,232620
112,112,0.05,0.438985964,0.136923518,491100
113,113,0,0.543520309,0.088473386,401610
114,114,0.33,0.275535804,0.251451509,269010
