"V1"	"V2"	"V3"
"27"	"28"	"28"
"27"	"27"	"27"
"27"	"27"	"27"
"28"	"26"	"15"
"27"	"27"	"14"
"28"	"27"	"14"
"27"	"28"	"14"
"27"	"27"	"27"
"27"	"28"	"14"
"26"	"28"	"14"
"27"	"28"	"20"
"28"	"27"	"28"
"27"	"0"	"27"
"28"	"14"	"25"
"28"	"27"	"15"
"27"	"27"	"14"
"14"	"27"	"24"
"27"	"28"	"27"
"27"	"28"	"27"
"27"	"0"	"13"
"27"	"28"	"27"
"27"	"28"	"14"
"27"	"27"	"14"
"27"	"27"	"26"
"27"	"28"	"27"
"27"	"14"	"27"
"27"	"28"	"25"
"28"	"27"	"22"
"28"	"27"	"28"
"27"	"25"	"28"
"28"	"27"	"4"
"27"	"14"	"27"
"28"	"28"	"27"
"27"	"27"	"26"
"26"	"27"	"0"
"27"	"0"	"28"
"26"	"27"	"27"
"27"	"27"	"27"
"26"	"27"	"27"
"26"	"24"	"27"
"28"	"28"	"26"
"27"	"27"	"6"
"27"	"27"	"24"
"27"	"27"	"8"
"26"	"27"	"27"
"28"	"27"	"14"
"27"	"28"	"27"
"27"	"27"	"14"
"27"	"27"	"27"
"27"	"26"	"14"
"27"	"28"	"27"
"27"	"14"	"28"
"28"	"27"	"14"
"27"	"28"	"26"
"28"	"6"	"27"
"27"	"6"	"14"
"26"	"27"	"28"
"26"	"25"	"27"
"27"	"27"	"27"
"27"	"27"	"27"
"28"	"28"	"28"
"26"	"27"	"27"
"27"	"28"	"27"
"23"	"28"	"21"
"27"	"27"	"21"
"26"	"27"	"0"
"28"	"27"	"22"
"27"	"28"	"28"
"27"	"27"	"18"
"27"	"27"	"18"
"27"	"27"	"23"
"28"	"28"	"15"
"26"	"27"	"0"
"26"	"27"	"24"
"27"	"27"	"23"
"27"	"13"	"27"
"27"	"23"	"15"
"26"	"0"	"27"
"28"	"28"	"14"
"27"	"27"	"11"
"28"	"28"	"27"
"27"	"27"	"27"
"27"	"14"	"26"
"28"	"0"	"27"
"27"	"28"	"14"
"26"	"0"	"27"
"27"	"25"	"27"
"27"	"28"	"14"
"27"	"27"	"0"
"28"	"27"	"28"
"27"	"27"	"27"
"27"	"25"	"19"
"26"	"28"	"26"
"27"	"14"	"0"
"27"	"27"	"27"
"28"	"27"	"27"
"27"	"27"	"28"
"26"	"27"	"0"
"27"	"27"	"26"
"27"	"0"	"27"
"28"	"28"	"6"
"27"	"26"	"27"
"27"	"28"	"14"
"28"	"27"	"25"
"27"	"26"	"14"
"27"	"27"	"27"
"27"	"27"	"13"
"27"	"25"	"27"
"27"	"22"	"14"
"0"	"27"	"28"
"27"	"0"	"14"
"27"	"28"	"27"
"25"	"27"	"25"
"27"	"23"	"28"
"27"	"26"	"27"
"27"	"28"	"10"
"27"	"22"	"18"
"24"	"27"	"14"
"27"	"27"	"14"
"28"	"28"	"25"
"27"	"13"	"27"
"27"	"27"	"14"
"27"	"27"	"7"
"27"	"27"	"0"
"27"	"27"	"10"
"28"	"27"	"20"
"27"	"22"	"25"
"0"	"27"	"27"
"27"	"28"	"27"
"27"	"14"	"3"
"0"	"28"	"14"
"28"	"27"	"19"
"27"	"14"	"14"
"27"	"27"	"25"
"28"	"28"	"26"
"27"	"27"	"26"
"27"	"27"	"19"
"26"	"28"	"27"
"27"	"28"	"7"
"28"	"26"	"15"
"27"	"23"	"27"
"26"	"28"	"27"
"27"	"27"	"16"
"20"	"27"	"21"
"27"	"27"	"23"
"27"	"28"	"0"
"28"	"28"	"11"
"27"	"28"	"14"
"27"	"28"	"28"
"26"	"28"	"27"
"26"	"27"	"28"
"27"	"25"	"7"
"27"	"27"	"19"
"27"	"14"	"26"
"27"	"27"	"14"
"27"	"27"	"27"
"27"	"27"	"19"
"27"	"27"	"22"
"28"	"28"	"27"
"26"	"28"	"13"
"27"	"28"	"26"
"27"	"26"	"25"
"27"	"27"	"14"
"28"	"14"	"21"
"27"	"27"	"0"
"28"	"26"	"10"
"26"	"28"	"27"
"27"	"27"	"15"
"27"	"27"	"28"
"27"	"27"	"4"
"27"	"27"	"14"
"25"	"18"	"26"
"28"	"27"	"14"
"27"	"27"	"14"
"27"	"14"	"27"
"26"	"14"	"20"
"27"	"27"	"21"
"28"	"14"	"23"
"27"	"28"	"15"
"26"	"27"	"27"
"27"	"25"	"26"
"26"	"27"	"0"
"27"	"0"	"27"
"27"	"28"	"27"
"27"	"24"	"22"
"27"	"28"	"27"
"27"	"28"	"14"
"27"	"0"	"14"
"27"	"28"	"14"
"27"	"28"	"28"
"27"	"27"	"24"
"28"	"28"	"0"
"27"	"27"	"17"
"27"	"27"	"27"
"27"	"27"	"25"
"27"	"27"	"14"
"27"	"27"	"13"
"27"	"28"	"27"
"28"	"28"	"13"
"28"	"28"	"14"
"28"	"27"	"10"
"27"	"27"	"27"
"27"	"25"	"27"
"27"	"28"	"27"
"27"	"28"	"27"
"26"	"27"	"27"
"28"	"27"	"24"
"27"	"0"	"27"
"26"	"0"	"27"
"26"	"27"	"27"
"22"	"28"	"26"
"27"	"28"	"27"
"27"	"28"	"14"
"28"	"27"	"14"
"27"	"14"	"24"
"27"	"27"	"16"
"27"	"26"	"9"
"27"	"27"	"27"
"27"	"27"	"27"
"26"	"28"	"27"
"17"	"28"	"2"
"28"	"27"	"14"
"27"	"21"	"27"
"27"	"27"	"27"
"27"	"0"	"27"
"26"	"14"	"28"
"0"	"27"	"14"
"27"	"28"	"27"
"27"	"22"	"28"
"27"	"26"	"25"
"27"	"14"	"27"
"0"	"28"	"18"
"27"	"28"	"25"
"27"	"27"	"6"
"26"	"27"	"28"
"27"	"27"	"18"
"27"	"28"	"27"
"27"	"27"	"27"
"27"	"28"	"27"
"27"	"27"	"27"
"28"	"27"	"27"
"27"	"27"	"27"
"27"	"0"	"14"
"27"	"28"	"27"
"28"	"28"	"26"
"27"	"27"	"14"
"27"	"27"	"27"
"26"	"27"	"14"
"27"	"28"	"14"
"26"	"14"	"14"
"28"	"28"	"28"
"27"	"28"	"28"
"27"	"28"	"14"
"27"	"27"	"27"
"27"	"27"	"26"
"27"	"27"	"27"
"27"	"14"	"14"
"27"	"25"	"28"
"26"	"28"	"14"
"27"	"28"	"26"
"26"	"28"	"14"
"14"	"27"	"27"
"27"	"14"	"27"
"27"	"28"	"25"
"27"	"28"	"26"
"27"	"0"	"27"
"27"	"28"	"27"
"27"	"0"	"13"
"26"	"27"	"0"
"26"	"28"	"14"
"26"	"28"	"9"
"27"	"14"	"25"
"27"	"28"	"27"
"27"	"28"	"14"
"28"	"27"	"25"
"28"	"11"	"26"
"28"	"27"	"10"
"24"	"27"	"27"
"27"	"27"	"0"
"28"	"28"	"14"
"27"	"21"	"22"
"27"	"27"	"28"
"26"	"27"	"27"
"22"	"0"	"26"
"26"	"27"	"14"
"27"	"27"	"14"
"28"	"28"	"23"
"28"	"27"	"14"
