"species"	"site"	"season"	"count"
"1"	"0"	"1"	"1"
"2"	"0"	"1"	"0"
"3"	"0"	"1"	"1"
"1"	"1"	"1"	"1"
"2"	"1"	"1"	"0"
"3"	"1"	"1"	"1"
"1"	"2"	"1"	"1"
"2"	"2"	"1"	"0"
"3"	"2"	"1"	"1"
"1"	"3"	"1"	"0"
"2"	"3"	"1"	"0"
"3"	"3"	"1"	"0"
"1"	"4"	"1"	"1"
"2"	"4"	"1"	"0"
"3"	"4"	"1"	"1"
"1"	"5"	"1"	"1"
"2"	"5"	"1"	"0"
"3"	"5"	"1"	"1"
"1"	"6"	"1"	"1"
"2"	"6"	"1"	"0"
"3"	"6"	"1"	"1"
"1"	"7"	"1"	"1"
"2"	"7"	"1"	"0"
"3"	"7"	"1"	"1"
"1"	"8"	"1"	"1"
"2"	"8"	"1"	"0"
"3"	"8"	"1"	"1"
"1"	"9"	"1"	"1"
"2"	"9"	"1"	"0"
"3"	"9"	"1"	"1"
"1"	"10"	"1"	"1"
"2"	"10"	"1"	"0"
"3"	"10"	"1"	"1"
"1"	"11"	"1"	"1"
"2"	"11"	"1"	"1"
"3"	"11"	"1"	"1"
"1"	"12"	"1"	"0"
"2"	"12"	"1"	"0"
"3"	"12"	"1"	"0"
"1"	"13"	"1"	"1"
"2"	"13"	"1"	"0"
"3"	"13"	"1"	"1"
"1"	"14"	"1"	"1"
"2"	"14"	"1"	"0"
"3"	"14"	"1"	"1"
"1"	"15"	"1"	"1"
"2"	"15"	"1"	"0"
"3"	"15"	"1"	"1"
"1"	"16"	"1"	"0"
"2"	"16"	"1"	"0"
"3"	"16"	"1"	"0"
"1"	"17"	"1"	"1"
"2"	"17"	"1"	"0"
"3"	"17"	"1"	"1"
"1"	"18"	"1"	"1"
"2"	"18"	"1"	"0"
"3"	"18"	"1"	"1"
"1"	"19"	"1"	"1"
"2"	"19"	"1"	"0"
"3"	"19"	"1"	"1"
"1"	"20"	"1"	"1"
"2"	"20"	"1"	"0"
"3"	"20"	"1"	"1"
"1"	"21"	"1"	"1"
"2"	"21"	"1"	"0"
"3"	"21"	"1"	"1"
"1"	"22"	"1"	"0"
"2"	"22"	"1"	"0"
"3"	"22"	"1"	"0"
"1"	"23"	"1"	"1"
"2"	"23"	"1"	"0"
"3"	"23"	"1"	"1"
"1"	"24"	"1"	"1"
"2"	"24"	"1"	"0"
"3"	"24"	"1"	"1"
"1"	"25"	"1"	"0"
"2"	"25"	"1"	"0"
"3"	"25"	"1"	"0"
"1"	"26"	"1"	"0"
"2"	"26"	"1"	"0"
"3"	"26"	"1"	"0"
"1"	"27"	"1"	"0"
"2"	"27"	"1"	"0"
"3"	"27"	"1"	"0"
"1"	"28"	"1"	"0"
"2"	"28"	"1"	"0"
"3"	"28"	"1"	"0"
"1"	"29"	"1"	"1"
"2"	"29"	"1"	"0"
"3"	"29"	"1"	"1"
"1"	"30"	"1"	"1"
"2"	"30"	"1"	"0"
"3"	"30"	"1"	"1"
"1"	"31"	"1"	"0"
"2"	"31"	"1"	"0"
"3"	"31"	"1"	"0"
"1"	"32"	"1"	"1"
"2"	"32"	"1"	"0"
"3"	"32"	"1"	"1"
"1"	"33"	"1"	"1"
"2"	"33"	"1"	"0"
"3"	"33"	"1"	"1"
"1"	"34"	"1"	"0"
"2"	"34"	"1"	"0"
"3"	"34"	"1"	"0"
"1"	"35"	"1"	"1"
"2"	"35"	"1"	"0"
"3"	"35"	"1"	"1"
"1"	"36"	"1"	"1"
"2"	"36"	"1"	"0"
"3"	"36"	"1"	"1"
"1"	"37"	"1"	"1"
"2"	"37"	"1"	"0"
"3"	"37"	"1"	"1"
"1"	"38"	"1"	"1"
"2"	"38"	"1"	"0"
"3"	"38"	"1"	"1"
"1"	"39"	"1"	"0"
"2"	"39"	"1"	"0"
"3"	"39"	"1"	"0"
"1"	"40"	"1"	"1"
"2"	"40"	"1"	"0"
"3"	"40"	"1"	"1"
"1"	"41"	"1"	"1"
"2"	"41"	"1"	"0"
"3"	"41"	"1"	"1"
"1"	"42"	"1"	"1"
"2"	"42"	"1"	"0"
"3"	"42"	"1"	"1"
"1"	"43"	"1"	"1"
"2"	"43"	"1"	"0"
"3"	"43"	"1"	"1"
"1"	"44"	"1"	"1"
"2"	"44"	"1"	"0"
"3"	"44"	"1"	"1"
"1"	"45"	"1"	"0"
"2"	"45"	"1"	"0"
"3"	"45"	"1"	"0"
"1"	"46"	"1"	"1"
"2"	"46"	"1"	"1"
"3"	"46"	"1"	"1"
"1"	"47"	"1"	"1"
"2"	"47"	"1"	"0"
"3"	"47"	"1"	"1"
"1"	"48"	"1"	"0"
"2"	"48"	"1"	"0"
"3"	"48"	"1"	"0"
"1"	"49"	"1"	"1"
"2"	"49"	"1"	"0"
"3"	"49"	"1"	"1"
"1"	"50"	"1"	"1"
"2"	"50"	"1"	"0"
"3"	"50"	"1"	"1"
"1"	"51"	"1"	"1"
