Zone,Species,Time,ImageDate,SetVisitDate
22,Swift Fox,0.07,8/5/2018 1:41,7/19/2018
45,Swift Fox,0.017,6/2/2019 0:25,5/30/2019
45,Swift Fox,0.072,6/10/2019 1:43,5/30/2019
45,Swift Fox,0.082,6/1/2019 1:58,5/30/2019
45,Swift Fox,0.084,6/10/2019 2:01,5/30/2019
45,Swift Fox,0.09,6/11/2019 2:10,5/30/2019
45,Swift Fox,0.125,6/8/2019 3:00,5/30/2019
45,Swift Fox,0.151,6/5/2019 3:37,5/30/2019
45,Swift Fox,0.2,6/10/2019 4:48,5/30/2019
45,Swift Fox,0.944,6/4/2019 22:39,5/30/2019
45,Swift Fox,0.967,6/20/2019 23:12,5/30/2019
45,Swift Fox,0.998,6/5/2019 23:57,5/30/2019
57,Swift Fox,0.017,6/8/2019 0:25,6/7/2019
57,Swift Fox,0.034,6/11/2019 0:49,6/7/2019
57,Swift Fox,0.034,8/22/2018 0:49,8/20/2018
57,Swift Fox,0.035,8/22/2018 0:51,8/20/2018
57,Swift Fox,0.14,8/23/2018 3:22,8/20/2018
57,Swift Fox,0.197,6/11/2019 4:44,6/7/2019
57,Swift Fox,0.209,6/29/2019 5:01,6/7/2019
57,Swift Fox,0.256,6/11/2019 6:09,6/7/2019
58,Swift Fox,0.098,9/17/2020 2:21,9/13/2020
74,Swift Fox,0.092,7/12/2019 2:13,7/10/2019
74,Swift Fox,0.178,8/15/2020 4:16,7/20/2020
76,Swift Fox,0.049,8/8/2018 1:10,7/14/2018
76,Swift Fox,0.064,7/16/2018 1:32,7/14/2018
76,Swift Fox,0.083,7/30/2018 1:59,7/14/2018
76,Swift Fox,0.106,7/22/2018 2:33,7/14/2018
76,Swift Fox,0.235,7/22/2018 5:38,7/14/2018
76,Swift Fox,0.285,7/22/2018 6:51,7/14/2018
82,Swift Fox,0.076,5/30/2020 1:50,5/29/2020
82,Swift Fox,0.431,6/11/2019 10:20,5/25/2019
82,Swift Fox,0.447,6/11/2019 10:43,5/25/2019
106,Swift Fox,0.982,8/3/2018 23:34,7/19/2018
106,Swift Fox,0.982,8/3/2018 23:34,7/19/2018
113,Swift Fox,0.032,8/3/2018 0:46,7/17/2018
113,Swift Fox,0.038,8/9/2018 0:55,7/17/2018
113,Swift Fox,0.041,8/5/2018 0:59,7/17/2018
113,Swift Fox,0.056,8/2/2018 1:21,7/17/2018
113,Swift Fox,0.06,7/25/2020 1:26,7/6/2020
113,Swift Fox,0.06,7/25/2020 1:26,7/6/2020
113,Swift Fox,0.06,8/2/2018 1:27,7/17/2018
113,Swift Fox,0.062,8/14/2018 1:29,7/17/2018
113,Swift Fox,0.101,8/3/2018 2:26,7/17/2018
113,Swift Fox,0.103,8/10/2018 2:28,7/17/2018
113,Swift Fox,0.105,7/28/2018 2:31,7/17/2018
113,Swift Fox,0.115,8/13/2018 2:46,7/17/2018
113,Swift Fox,0.124,8/11/2018 2:58,7/17/2018
113,Swift Fox,0.158,8/7/2018 3:47,7/17/2018
113,Swift Fox,0.16,8/14/2018 3:51,7/17/2018
113,Swift Fox,0.175,8/3/2018 4:12,7/17/2018
113,Swift Fox,0.184,8/11/2018 4:25,7/17/2018
113,Swift Fox,0.204,7/18/2018 4:54,7/17/2018
113,Swift Fox,0.21,7/29/2018 5:02,7/17/2018
113,Swift Fox,0.21,8/11/2018 5:02,7/17/2018
113,Swift Fox,0.238,7/28/2018 5:43,7/17/2018
113,Swift Fox,0.258,8/3/2018 6:11,7/17/2018
113,Swift Fox,0.637,8/5/2018 15:17,7/17/2018
113,Swift Fox,0.906,8/3/2018 21:44,7/17/2018
113,Swift Fox,0.909,8/1/2020 21:49,7/6/2020
113,Swift Fox,0.928,7/29/2018 22:17,7/17/2018
113,Swift Fox,0.971,8/3/2018 23:18,7/17/2018
113,Swift Fox,0.973,8/2/2018 23:21,7/17/2018
113,Swift Fox,0.975,8/2/2018 23:24,7/17/2018
113,Swift Fox,0.976,8/4/2018 23:26,7/17/2018
113,Swift Fox,0.989,7/21/2018 23:44,7/17/2018
129,Swift Fox,0.193,8/9/2018 4:38,7/16/2018
129,Swift Fox,0.919,6/8/2019 22:03,6/9/2019
129,Swift Fox,0.945,6/14/2019 22:41,6/9/2019
129,Swift Fox,0.945,6/14/2019 22:41,6/9/2019
131,Swift Fox,0.035,7/22/2020 0:51,7/18/2020
131,Swift Fox,0.197,7/31/2019 4:44,7/10/2019
131,Swift Fox,0.259,7/13/2019 6:13,7/10/2019
131,Swift Fox,0.274,7/24/2020 6:34,7/18/2020
146,Swift Fox,0.131,7/21/2020 3:08,7/20/2020
146,Swift Fox,0.157,9/8/2018 3:46,8/21/2018
146,Swift Fox,0.915,7/21/2020 21:58,7/20/2020
155,Swift Fox,0.139,5/27/2020 3:20,5/23/2020
159,Swift Fox,0.017,7/30/2019 0:25,7/19/2019
159,Swift Fox,0.91,8/3/2019 21:50,7/19/2019
160,Swift Fox,0.096,9/11/2020 2:18,8/25/2020
160,Swift Fox,0.096,9/11/2020 2:18,8/25/2020
162,Swift Fox,0.138,6/5/2018 3:19,5/15/2018
172,Swift Fox,0.113,6/26/2018 2:42,6/14/2018
183,Swift Fox,0.026,7/24/2018 0:37,7/17/2018
183,Swift Fox,0.031,7/22/2018 0:45,7/17/2018
183,Swift Fox,0.046,7/27/2018 1:06,7/17/2018
183,Swift Fox,0.049,7/24/2018 1:11,7/17/2018
183,Swift Fox,0.061,7/27/2018 1:28,7/17/2018
183,Swift Fox,0.127,7/22/2018 3:03,7/17/2018
183,Swift Fox,0.136,7/22/2018 3:16,7/17/2018
183,Swift Fox,0.137,7/22/2018 3:17,7/17/2018
183,Swift Fox,0.143,8/2/2018 3:26,7/17/2018
183,Swift Fox,0.144,7/26/2018 3:27,7/17/2018
183,Swift Fox,0.144,7/26/2018 3:28,7/17/2018
183,Swift Fox,0.151,8/2/2018 3:37,7/17/2018
183,Swift Fox,0.151,8/2/2018 3:38,7/17/2018
