"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"a[1,1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,1]",-3.12,-2.59,-2.1,-2.6,0.26,NA,0,0.5,41794,0,1
"a[3,1,1]",-6.82,0,7.02,0.01,4.95,NA,0.07,1.3,5623,0.38,1.01
"a[1,2,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,1]",0.12,0.54,1,0.54,0.23,NA,0,0.5,43846,0,1
"a[3,2,1]",-6.83,0,7.43,-0.2,5.31,NA,0.07,1.4,5311,0.41,1.02
"a[1,1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,2]",-1.38,-0.48,0.31,-0.51,0.44,NA,0,0.5,44749,0,1
"a[3,1,2]",4.05,13.23,116.9,32.58,72.22,NA,1.34,1.9,2906,0.58,1.01
"a[1,2,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,2]",-0.97,-0.2,0.48,-0.22,0.37,NA,0,0.5,45697,0,1
"a[3,2,2]",-3.08,0.02,3.43,0.05,1.97,NA,0.02,0.8,16414,0.13,1.01
"da[1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,1]",-2.35,-2.15,-1.95,-2.15,0.1,NA,0,0.4,51517,0,1
"da[3,1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,88719,0,1
"da[1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,2]",-0.11,0.05,0.2,0.05,0.08,NA,0,0.4,53770,0,1
"da[3,2]",-0.08,-0.04,0.01,-0.04,0.02,NA,0,0.3,89554,0,1
"psi0[1]",0.47,0.69,0.91,0.69,0.11,NA,0,0.3,87229,0.01,1
"psi0[2]",-2.58,-2.17,-1.78,-2.18,0.21,NA,0,0.4,51203,0,1
"psi0[3]",3.68,13.3,149.38,42.22,119.26,NA,2.59,2.2,2120,0.68,1.01
"psi_urb[1]",-0.35,-0.14,0.07,-0.14,0.11,NA,0,0.3,87499,0,1
"psi_urb[2]",0.01,0.37,0.74,0.37,0.18,NA,0,0.4,54545,0,1
"psi_urb[3]",-3.15,0,3.21,0.01,1.92,NA,0.02,0.8,15540,0.12,1.01
"pmu[1]",0.26,0.46,0.66,0.46,0.1,NA,0,0.3,83454,0,1
"pmu[2]",-1.51,-0.13,1.01,-0.2,0.66,NA,0.01,0.8,17173,0.08,1
"pmu[3]",3.34,11.85,106.06,29.62,65.47,NA,1.3,2,2526,0.64,1
"lp[1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,89816,-0.01,1
"lp[2]",-5.01,-4.19,-3.44,-4.21,0.4,NA,0,0.6,28242,0.01,1
"lp[3]",-171.31,-20.91,-7.46,-47.99,91.57,NA,1.81,2,2557,0.59,1.02
"gmu[1]",0.02,0.26,0.5,0.26,0.12,NA,0,0.3,85735,0,1
"gmu[2]",-5.71,-4.05,-2.74,-4.15,0.78,NA,0,0.6,25843,0.02,1
"gmu[3]",-3.63,0.07,3.57,0.05,1.83,NA,0.01,0.3,86941,-0.01,1
"gb[1]",-0.06,0.17,0.42,0.17,0.12,NA,0,0.3,84880,0,1
"gb[2]",-1.1,-0.02,1.05,-0.04,0.53,NA,0,0.5,38737,0,1
"gb[3]",-7.59,0,7.58,0.28,7.02,NA,0.1,1.5,4663,0.47,1.05
"pb[1]",0.11,0.3,0.51,0.31,0.1,NA,0,0.3,83688,0,1
"lpb[1]",-0.08,-0.04,0.01,-0.04,0.02,NA,0,0.3,88191,0,1
"pb[2]",-1.1,0.16,2.25,0.36,1.04,NA,0.01,1.1,8026,0.25,1
"lpb[2]",-0.8,-0.05,0.55,-0.08,0.34,NA,0,0.6,29214,0.02,1
"pb[3]",-2.94,0.02,3.32,0.02,1.82,NA,0.01,0.7,18029,0.11,1.01
"lpb[3]",-3.85,-0.01,3.76,-0.09,2.51,NA,0.02,0.8,14444,0.21,1.01
