"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"a[1,1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,1]",-3.46,-2.76,-2.17,-2.79,0.33,NA,0,0.7,23111,0.01,1
"a[3,1,1]",-8.53,0,8.67,-1.17,15.56,NA,0.2,1.3,5959,0.41,1.2
"a[1,2,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,1]",-1.9,-0.93,-0.14,-0.98,0.46,NA,0,0.7,22621,0.01,1
"a[3,2,1]",-9.38,0.01,9.29,0.99,12.46,NA,0.22,1.8,3174,0.57,1.12
"a[1,1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,2]",-1.51,-0.54,0.28,-0.57,0.46,NA,0,0.5,41095,0,1
"a[3,1,2]",3.87,13.34,118.22,33.35,72.27,NA,1.4,1.9,2663,0.62,1
"a[1,2,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,2]",-1.06,-0.01,0.96,-0.02,0.5,NA,0,0.5,46907,0,1
"a[3,2,2]",-2.85,0.04,3.69,0.24,2.1,NA,0.02,0.8,14791,0.17,1.01
"da[1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,1]",-2.27,-2.07,-1.89,-2.08,0.1,NA,0,0.4,55988,0,1
"da[3,1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,88868,0,1
"da[1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,2]",-0.11,0.13,0.36,0.13,0.12,NA,0,0.4,58235,0,1
"da[3,2]",-0.08,-0.03,0.02,-0.03,0.02,NA,0,0.3,88844,0.01,1
"psi0[1]",0.48,0.69,0.91,0.69,0.11,NA,0,0.3,87929,0,1
"psi0[2]",-2.72,-2.25,-1.83,-2.26,0.23,NA,0,0.5,39222,0,1
"psi0[3]",3.89,13.17,102.65,29,51.65,NA,0.98,1.9,2805,0.56,1
"psi_urb[1]",-0.39,-0.18,0.03,-0.18,0.11,NA,0,0.3,88321,0,1
"psi_urb[2]",-1.19,-0.56,-0.05,-0.59,0.3,NA,0,0.5,36423,0.01,1
"psi_urb[3]",-2.79,0.04,3.51,0.21,1.95,NA,0.01,0.7,19374,0.11,1.02
"pmu[1]",0.26,0.45,0.65,0.46,0.1,NA,0,0.3,85617,0,1
"pmu[2]",-1.2,0.14,1.91,0.25,0.84,NA,0.01,1.1,8316,0.24,1.01
"pmu[3]",3.03,12.28,191.7,54.71,176.18,NA,4.36,2.5,1634,0.75,1.03
"lp[1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,87444,0,1
"lp[2]",-6.11,-4.66,-3.57,-4.75,0.67,NA,0.01,1.1,8637,0.2,1
"lp[3]",-209.58,-21.03,-7.37,-54.28,111.28,NA,2.49,2.2,1995,0.67,1.04
"gmu[1]",0.02,0.25,0.49,0.25,0.12,NA,0,0.3,85567,0,1
"gmu[2]",-5.83,-4.11,-2.81,-4.21,0.8,NA,0,0.6,26719,0.02,1
"gmu[3]",-3.43,0.06,3.7,0.06,1.82,NA,0.01,0.3,85230,0,1
"gb[1]",-0.32,-0.09,0.14,-0.09,0.12,NA,0,0.3,86025,0,1
"gb[2]",-1.04,0.05,0.94,0,0.5,NA,0,0.5,45219,0,1
"gb[3]",-8.93,0,8.98,0.56,14.98,NA,0.21,1.4,4988,0.48,1.23
"pb[1]",-0.28,-0.08,0.12,-0.08,0.1,NA,0,0.3,83927,0,1
"lpb[1]",-0.08,-0.03,0.02,-0.03,0.02,NA,0,0.3,87209,0,1
"pb[2]",-1.04,0.5,3.52,0.82,1.37,NA,0.02,1.1,7583,0.27,1.01
"lpb[2]",-3.22,-1.06,0.31,-1.23,0.96,NA,0.01,1.1,8504,0.2,1
"pb[3]",-2.9,0.04,3.61,0.21,2.21,NA,0.02,0.9,11693,0.21,1.02
"lpb[3]",-4.1,-0.04,3.12,-0.23,2.3,NA,0.02,0.9,11458,0.18,1.01
