"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"a[1,1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,1]",-2.98,-2.49,-2.04,-2.5,0.24,NA,0,0.5,47812,0.01,1
"a[3,1,1]",-7.03,0.01,7.7,-0.06,6.83,NA,0.11,1.6,3820,0.52,1.06
"a[1,2,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,1]",-0.54,-0.08,0.35,-0.09,0.23,NA,0,0.4,53281,0,1
"a[3,2,1]",-7.72,-0.01,7.49,0.03,7.03,NA,0.11,1.6,4146,0.54,1.03
"a[1,1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,2]",-1.38,-0.49,0.27,-0.51,0.42,NA,0,0.5,45649,0.01,1
"a[3,1,2]",3.89,13.18,116.78,36.73,104.88,NA,1.81,1.7,3345,0.59,1.01
"a[1,2,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,2]",-0.82,-0.07,0.67,-0.07,0.37,NA,0,0.4,50428,0.01,1
"a[3,2,2]",-2.89,0.03,3.62,0.07,3.17,NA,0.03,0.9,12663,0.25,1.13
"da[1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,1]",-2.32,-2.14,-1.97,-2.14,0.09,NA,0,0.4,65417,0,1
"da[3,1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,87512,0,1
"da[1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,2]",-0.26,-0.07,0.12,-0.07,0.1,NA,0,0.4,62319,0,1
"da[3,2]",0.01,0.05,0.09,0.05,0.02,NA,0,0.3,86410,0,1
"psi0[1]",0.47,0.69,0.91,0.69,0.11,NA,0,0.3,88546,-0.01,1
"psi0[2]",-2.54,-2.15,-1.76,-2.15,0.2,NA,0,0.5,48474,0.01,1
"psi0[3]",3.71,13.26,129.43,36.03,90.07,NA,1.85,2.1,2379,0.64,1.01
"psi_urb[1]",-0.06,0.16,0.38,0.16,0.11,NA,0,0.3,86877,0.01,1
"psi_urb[2]",-0.17,0.17,0.51,0.17,0.17,NA,0,0.4,58857,0,1
"psi_urb[3]",-2.85,0.03,3.73,0.13,1.98,NA,0.02,0.8,14568,0.12,1.01
"pmu[1]",0.26,0.46,0.66,0.46,0.1,NA,0,0.3,83254,0.01,1
"pmu[2]",-1.39,0.04,1.49,0.05,0.77,NA,0.01,0.7,22973,0.04,1
"pmu[3]",3.29,12.02,111.49,30.14,61.64,NA,1.19,1.9,2689,0.61,1.01
"lp[1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,88555,0,1
"lp[2]",-5.12,-4.16,-3.39,-4.2,0.45,NA,0,0.7,20888,0.04,1
"lp[3]",-209.94,-21.01,-7.48,-55.77,121.73,NA,3.04,2.5,1601,0.69,1.04
"gmu[1]",0.01,0.25,0.49,0.25,0.12,NA,0,0.3,86280,0,1
"gmu[2]",-5.93,-4.19,-2.89,-4.29,0.8,NA,0,0.6,28386,0.02,1
"gmu[3]",-3.51,0.07,3.64,0.06,1.83,NA,0.01,0.3,86983,0,1
"gb[1]",-0.34,-0.1,0.13,-0.1,0.12,NA,0,0.3,87759,0,1
"gb[2]",-1.07,-0.02,0.9,-0.05,0.49,NA,0,0.4,50146,0.01,1
"gb[3]",-8.65,0.01,8.07,0.84,12.85,NA,0.21,1.6,3831,0.61,1.08
"pb[1]",-0.27,-0.08,0.11,-0.08,0.1,NA,0,0.4,81495,0,1
"lpb[1]",0,0.05,0.09,0.05,0.02,NA,0,0.3,88252,-0.01,1
"pb[2]",-10.16,-1.02,0.76,-2.57,5.81,NA,0.12,2.1,2208,0.65,1.07
"lpb[2]",-0.49,0.09,0.76,0.1,0.31,NA,0,0.6,29026,0.02,1
"pb[3]",-2.98,0.02,3.53,0.15,2.33,NA,0.02,0.9,13048,0.2,1.02
"lpb[3]",-4.09,-0.02,3.66,-0.06,2.9,NA,0.02,0.8,14065,0.15,1.09
