"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"a[1,1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,1]",-3.05,-2.53,-2.06,-2.54,0.25,NA,0,0.5,42881,0,1
"a[3,1,1]",-7.48,0.01,7.42,1.07,14.92,NA,0.19,1.3,6092,0.41,1.28
"a[1,2,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,1]",-0.9,-0.38,0.1,-0.39,0.26,NA,0,0.5,45983,0.01,1
"a[3,2,1]",-8.36,-0.01,8.42,-0.01,8.26,NA,0.16,2,2517,0.65,1.03
"a[1,1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,1,2]",-1.46,-0.53,0.26,-0.56,0.44,NA,0,0.5,43779,0,1
"a[3,1,2]",3.89,13.18,142.2,45.05,140.89,NA,3.24,2.3,1891,0.68,1.04
"a[1,2,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"a[2,2,2]",-0.77,0.01,0.79,0.01,0.39,NA,0,0.5,40229,0,1
"a[3,2,2]",-2.75,0.02,3.2,0.11,1.84,NA,0.01,0.7,18536,0.1,1.01
"da[1,1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,1]",-2.39,-2.19,-1.99,-2.19,0.1,NA,0,0.5,49317,0,1
"da[3,1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,89567,0,1
"da[1,2]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"da[2,2]",-0.3,-0.12,0.05,-0.12,0.09,NA,0,0.4,50664,0,1
"da[3,2]",0,0.04,0.09,0.04,0.02,NA,0,0.3,89875,0,1
"psi0[1]",0.48,0.69,0.91,0.69,0.11,NA,0,0.3,87894,-0.01,1
"psi0[2]",-2.54,-2.14,-1.76,-2.15,0.2,NA,0,0.4,54455,0,1
"psi0[3]",3.59,13.24,143.96,43.51,140.71,NA,3.74,2.7,1415,0.73,1.01
"psi_urb[1]",-0.06,0.15,0.37,0.15,0.11,NA,0,0.3,87975,0,1
"psi_urb[2]",-0.64,-0.25,0.12,-0.25,0.19,NA,0,0.4,60889,0,1
"psi_urb[3]",-2.72,0.03,3.23,0.08,2.25,NA,0.02,0.8,15065,0.19,1.05
"pmu[1]",0.27,0.46,0.66,0.46,0.1,NA,0,0.4,79056,0.01,1
"pmu[2]",-2.45,-0.16,1.27,-0.4,1.44,NA,0.02,1.4,5087,0.39,1.07
"pmu[3]",3.28,12,103.42,28.82,60.06,NA,1.07,1.8,3169,0.57,1.01
"lp[1]",-1.96,-1.91,-1.87,-1.91,0.02,NA,0,0.3,87131,0,1
"lp[2]",-5.01,-4.18,-3.44,-4.2,0.4,NA,0,0.6,28031,0.02,1
"lp[3]",-197.71,-20.99,-7.44,-57.56,138.21,NA,3.14,2.3,1938,0.71,1.05
"gmu[1]",0.01,0.25,0.49,0.25,0.12,NA,0,0.3,84116,0,1
"gmu[2]",-5.86,-4.11,-2.81,-4.22,0.81,NA,0.01,0.6,24436,0.03,1
"gmu[3]",-3.59,0.06,3.57,0.05,1.83,NA,0.01,0.3,86065,0,1
"gb[1]",-0.33,-0.1,0.14,-0.1,0.12,NA,0,0.3,85774,0,1
"gb[2]",-1.34,-0.1,0.99,-0.14,0.58,NA,0,0.5,33218,0.02,1
"gb[3]",-7.66,-0.01,7.9,-0.83,11.68,NA,0.16,1.4,5334,0.45,1.17
"pb[1]",-0.45,-0.25,-0.05,-0.25,0.1,NA,0,0.3,84676,0,1
"lpb[1]",0,0.04,0.09,0.04,0.02,NA,0,0.3,89269,-0.01,1
"pb[2]",-5.43,-0.72,0.89,-1.69,4.73,NA,0.1,2.1,2334,0.65,1.09
"lpb[2]",-0.55,0.09,0.83,0.12,0.35,NA,0,0.6,31106,0.01,1
"pb[3]",-3.2,0,3.2,0,2.41,NA,0.02,0.8,16388,0.16,1.09
"lpb[3]",-3.96,-0.01,3.46,-0.06,2.33,NA,0.02,0.8,16057,0.14,1.02
